timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1709753743399,178,Signup,200,OK,Load Test 1-1,text,true,,633,232,3,3,http://localhost:5000/api/v1/signup,174,0,33
1709753743399,178,Signup,200,OK,Load Test 1-2,text,true,,633,232,3,3,http://localhost:5000/api/v1/signup,174,0,33
1709753743484,144,Signup,200,OK,Load Test 1-3,text,true,,633,232,4,4,http://localhost:5000/api/v1/signup,144,0,1
1709753743583,107,Signup,200,OK,Load Test 1-4,text,true,,633,232,5,5,http://localhost:5000/api/v1/signup,107,0,1
1709753743619,92,Login,200,OK,Load Test 1-2,text,true,,968,231,5,5,http://localhost:5000/api/v1/login,68,0,0
1709753743708,3,Login-0,200,OK,Load Test 1-2,text,true,,335,0,5,5,null,0,0,0
1709753743629,133,Login,200,OK,Load Test 1-3,text,true,,968,231,5,5,http://localhost:5000/api/v1/login,133,0,0
1709753743762,0,Login-0,200,OK,Load Test 1-3,text,true,,335,0,5,5,null,0,0,0
1709753743684,80,Signup,200,OK,Load Test 1-5,text,true,,633,232,5,5,http://localhost:5000/api/v1/signup,80,0,1
1709753743712,53,PostTodo,200,OK,Load Test 1-2,text,false,"The result was the wrong size: It was 572 bytes, but should have been less than 500 bytes.",572,286,5,5,http://localhost:5000/api/v1/todos,53,0,0
1709753743763,5,PostTodo,200,OK,Load Test 1-3,text,false,"The result was the wrong size: It was 572 bytes, but should have been less than 500 bytes.",572,286,5,5,http://localhost:5000/api/v1/todos,5,0,0
1709753743767,4,GetTodos,200,OK,Load Test 1-2,text,true,,577,142,5,5,http://localhost:5000/api/v1/todos/admin2@ju.se,4,0,0
1709753743770,6,GetTodos,200,OK,Load Test 1-3,text,true,,577,142,5,5,http://localhost:5000/api/v1/todos/admin3@ju.se,6,0,0
1709753743773,5,PutTodo,200,OK,Load Test 1-2,text,true,,572,322,5,5,http://localhost:5000/api/v1/todos/00d07fd4-ad5e-4f59-a4cc-b8f7dc5bbf63,5,0,0
1709753743777,4,PutTodo,200,OK,Load Test 1-3,text,true,,572,322,5,5,http://localhost:5000/api/v1/todos/1525b4ef-319a-46f5-a49c-e8d7870c1a1c,4,0,0
1709753743780,5,DeleteTodo,200,OK,Load Test 1-2,text,true,,483,252,6,6,http://localhost:5000/api/v1/todos/00d07fd4-ad5e-4f59-a4cc-b8f7dc5bbf63,5,0,0
1709753743782,4,DeleteTodo,200,OK,Load Test 1-3,text,true,,483,252,6,6,http://localhost:5000/api/v1/todos/1525b4ef-319a-46f5-a49c-e8d7870c1a1c,4,0,0
1709753743691,208,Login,200,OK,Load Test 1-4,text,true,,968,231,7,7,http://localhost:5000/api/v1/login,208,0,0
1709753743899,0,Login-0,200,OK,Load Test 1-4,text,true,,335,0,7,7,null,0,0,0
1709753743765,135,Login,200,OK,Load Test 1-5,text,true,,968,231,7,7,http://localhost:5000/api/v1/login,135,0,0
1709753743900,0,Login-0,200,OK,Load Test 1-5,text,true,,335,0,7,7,null,0,0,0
1709753743619,283,Login,200,OK,Load Test 1-1,text,true,,967,231,7,7,http://localhost:5000/api/v1/login,282,0,0
1709753743902,0,Login-0,200,OK,Load Test 1-1,text,true,,334,0,7,7,null,0,0,0
1709753743786,117,Signup,200,OK,Load Test 1-2,text,true,,633,232,7,7,http://localhost:5000/api/v1/signup,117,0,0
1709753743784,120,Signup,200,OK,Load Test 1-6,text,true,,633,232,7,7,http://localhost:5000/api/v1/signup,120,0,1
1709753743787,173,Signup,200,OK,Load Test 1-3,text,true,,633,232,7,7,http://localhost:5000/api/v1/signup,173,0,0
1709753743900,61,PostTodo,200,OK,Load Test 1-4,text,false,"The result was the wrong size: It was 572 bytes, but should have been less than 500 bytes.",572,286,7,7,http://localhost:5000/api/v1/todos,61,0,0
1709753743901,60,PostTodo,200,OK,Load Test 1-5,text,false,"The result was the wrong size: It was 572 bytes, but should have been less than 500 bytes.",572,286,7,7,http://localhost:5000/api/v1/todos,60,0,0
1709753743962,4,GetTodos,200,OK,Load Test 1-4,text,true,,577,142,7,7,http://localhost:5000/api/v1/todos/admin4@ju.se,4,0,0
1709753743962,4,GetTodos,200,OK,Load Test 1-5,text,true,,577,142,7,7,http://localhost:5000/api/v1/todos/admin5@ju.se,4,0,0
1709753743966,4,PutTodo,200,OK,Load Test 1-4,text,true,,572,322,7,7,http://localhost:5000/api/v1/todos/5d33c6ba-9cec-43b8-a1a6-3c06109a748c,4,0,0
1709753743967,5,PutTodo,200,OK,Load Test 1-5,text,true,,572,322,7,7,http://localhost:5000/api/v1/todos/735fb405-5251-4ed6-8e7d-3f81f9001875,5,0,0
1709753743971,4,DeleteTodo,200,OK,Load Test 1-4,text,true,,483,252,7,7,http://localhost:5000/api/v1/todos/5d33c6ba-9cec-43b8-a1a6-3c06109a748c,4,0,0
1709753743972,4,DeleteTodo,200,OK,Load Test 1-5,text,true,,483,252,7,7,http://localhost:5000/api/v1/todos/735fb405-5251-4ed6-8e7d-3f81f9001875,4,0,0
1709753743961,70,Login,200,OK,Load Test 1-3,text,true,,1008,231,8,8,http://localhost:5000/api/v1/login,70,0,0
1709753744031,0,Login-0,200,OK,Load Test 1-3,text,true,,375,0,8,8,null,0,0,0
1709753743975,106,Signup,200,OK,Load Test 1-4,text,true,,635,233,8,8,http://localhost:5000/api/v1/signup,106,0,0
1709753743976,159,Signup,200,OK,Load Test 1-5,text,true,,635,233,9,9,http://localhost:5000/api/v1/signup,159,0,0
1709753743983,154,Signup,200,OK,Load Test 1-8,text,true,,635,233,9,9,http://localhost:5000/api/v1/signup,154,0,0
1709753744032,107,PostTodo,200,OK,Load Test 1-3,text,false,"The result was the wrong size: It was 572 bytes, but should have been less than 500 bytes.",572,286,9,9,http://localhost:5000/api/v1/todos,107,0,0
1709753743902,357,PostTodo,200,OK,Load Test 1-1,text,false,"The result was the wrong size: It was 572 bytes, but should have been less than 500 bytes.",572,286,10,10,http://localhost:5000/api/v1/todos,357,0,0
1709753743884,376,Signup,200,OK,Load Test 1-7,text,true,,633,232,10,10,http://localhost:5000/api/v1/signup,376,0,0
1709753744140,121,GetTodos,200,OK,Load Test 1-3,text,true,,577,142,10,10,http://localhost:5000/api/v1/todos/admin8@ju.se,121,0,0
1709753744082,181,Login,200,OK,Load Test 1-4,text,true,,1012,232,10,10,http://localhost:5000/api/v1/login,181,0,0
1709753744263,0,Login-0,200,OK,Load Test 1-4,text,true,,377,0,10,10,null,0,0,0
1709753744138,127,Login,200,OK,Load Test 1-8,text,true,,972,232,10,10,http://localhost:5000/api/v1/login,127,0,0
1709753744265,0,Login-0,200,OK,Load Test 1-8,text,true,,337,0,10,10,null,0,0,0
1709753744136,131,Login,200,OK,Load Test 1-5,text,true,,1012,232,10,10,http://localhost:5000/api/v1/login,130,0,0
1709753744266,1,Login-0,200,OK,Load Test 1-5,text,true,,377,0,10,10,null,0,0,0
1709753744083,185,Signup,200,OK,Load Test 1-9,text,true,,635,233,10,10,http://localhost:5000/api/v1/signup,185,0,1
1709753744260,12,GetTodos,200,OK,Load Test 1-1,text,true,,577,142,10,10,http://localhost:5000/api/v1/todos/admin1@ju.se,12,0,0
1709753744262,71,PutTodo,200,OK,Load Test 1-3,text,true,,572,322,11,11,http://localhost:5000/api/v1/todos/516fecf3-1886-45f1-a218-59fc0333ccd2,71,0,0
1709753744264,70,PostTodo,200,OK,Load Test 1-4,text,false,"The result was the wrong size: It was 573 bytes, but should have been less than 500 bytes.",573,287,11,11,http://localhost:5000/api/v1/todos,70,0,0
1709753744267,67,PostTodo,200,OK,Load Test 1-5,text,false,"The result was the wrong size: It was 573 bytes, but should have been less than 500 bytes.",573,287,11,11,http://localhost:5000/api/v1/todos,67,0,0
1709753744266,69,PostTodo,200,OK,Load Test 1-8,text,false,"The result was the wrong size: It was 573 bytes, but should have been less than 500 bytes.",573,287,11,11,http://localhost:5000/api/v1/todos,69,0,0
1709753743905,431,Login,200,OK,Load Test 1-6,text,true,,968,231,11,11,http://localhost:5000/api/v1/login,431,0,0
1709753744336,0,Login-0,200,OK,Load Test 1-6,text,true,,335,0,11,11,null,0,0,0
1709753743904,434,Login,200,OK,Load Test 1-2,text,true,,1008,231,11,11,http://localhost:5000/api/v1/login,434,0,0
1709753744338,0,Login-0,200,OK,Load Test 1-2,text,true,,375,0,11,11,null,0,0,0
1709753744261,78,Login,200,OK,Load Test 1-7,text,true,,968,231,11,11,http://localhost:5000/api/v1/login,78,0,0
1709753744339,0,Login-0,200,OK,Load Test 1-7,text,true,,335,0,11,11,null,0,0,0
1709753744183,157,Signup,200,OK,Load Test 1-10,text,true,,635,233,11,11,http://localhost:5000/api/v1/signup,157,0,1
1709753744273,69,PutTodo,200,OK,Load Test 1-1,text,true,,572,322,11,11,http://localhost:5000/api/v1/todos/8503dab0-57d1-455e-8de8-b0cb21a1a0eb,69,0,0
1709753744334,10,DeleteTodo,200,OK,Load Test 1-3,text,true,,483,252,11,11,http://localhost:5000/api/v1/todos/516fecf3-1886-45f1-a218-59fc0333ccd2,10,0,0
1709753744335,9,GetTodos,200,OK,Load Test 1-5,text,true,,578,143,11,11,http://localhost:5000/api/v1/todos/admin11@ju.se,9,0,0
1709753744335,11,GetTodos,200,OK,Load Test 1-8,text,true,,578,143,11,11,http://localhost:5000/api/v1/todos/admin12@ju.se,11,0,0
1709753744335,12,GetTodos,200,OK,Load Test 1-4,text,true,,578,143,11,11,http://localhost:5000/api/v1/todos/admin10@ju.se,12,0,0
1709753744338,9,PostTodo,200,OK,Load Test 1-2,text,false,"The result was the wrong size: It was 572 bytes, but should have been less than 500 bytes.",572,286,11,11,http://localhost:5000/api/v1/todos,9,0,0
1709753744337,65,PostTodo,200,OK,Load Test 1-6,text,false,"The result was the wrong size: It was 572 bytes, but should have been less than 500 bytes.",572,286,12,12,http://localhost:5000/api/v1/todos,65,0,0
1709753744283,176,Signup,200,OK,Load Test 1-11,text,true,,635,233,12,12,http://localhost:5000/api/v1/signup,176,0,1
1709753744340,120,PostTodo,200,OK,Load Test 1-7,text,false,"The result was the wrong size: It was 572 bytes, but should have been less than 500 bytes.",572,286,12,12,http://localhost:5000/api/v1/todos,120,0,0
1709753744342,120,DeleteTodo,200,OK,Load Test 1-1,text,true,,483,252,12,12,http://localhost:5000/api/v1/todos/8503dab0-57d1-455e-8de8-b0cb21a1a0eb,120,0,0
1709753744269,195,Login,200,OK,Load Test 1-9,text,true,,971,232,12,12,http://localhost:5000/api/v1/login,195,0,0
1709753744464,0,Login-0,200,OK,Load Test 1-9,text,true,,336,0,12,12,null,0,0,0
1709753744341,125,Login,200,OK,Load Test 1-10,text,true,,972,232,12,12,http://localhost:5000/api/v1/login,124,0,0
1709753744465,1,Login-0,200,OK,Load Test 1-10,text,true,,337,0,12,12,null,0,0,0
1709753744345,122,Signup,200,OK,Load Test 1-3,text,true,,635,233,12,12,http://localhost:5000/api/v1/signup,122,0,0
1709753744347,121,PutTodo,200,OK,Load Test 1-8,text,true,,573,323,12,12,http://localhost:5000/api/v1/todos/5c981d82-868b-476d-8aaa-1b20f950c8ca,121,0,0
1709753744347,121,PutTodo,200,OK,Load Test 1-4,text,true,,573,323,12,12,http://localhost:5000/api/v1/todos/275863e3-2535-479d-b5ac-bb6866f0ba7b,121,0,0
1709753744345,124,PutTodo,200,OK,Load Test 1-5,text,true,,573,323,12,12,http://localhost:5000/api/v1/todos/d7128bdb-656e-4de3-9256-9091a4dff465,124,0,0
1709753744348,123,GetTodos,200,OK,Load Test 1-2,text,true,,577,142,12,12,http://localhost:5000/api/v1/todos/admin7@ju.se,123,0,0
1709753744403,124,GetTodos,200,OK,Load Test 1-6,text,true,,577,142,13,13,http://localhost:5000/api/v1/todos/admin6@ju.se,124,0,0
1709753744461,67,GetTodos,200,OK,Load Test 1-7,text,true,,577,142,13,13,http://localhost:5000/api/v1/todos/admin9@ju.se,67,0,0
1709753744462,70,Signup,200,OK,Load Test 1-1,text,true,,635,233,13,13,http://localhost:5000/api/v1/signup,70,0,0
